metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,epoch,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.93954,0.89313,0.94594,0.81116,0.60009,0.41296,0.96719,43,1763394607,,False,43,35bf4_00009,2025-11-17_10-50-07,90.43157148361206,3923.9599871635437,20324,LAPTOP-2DUVSE15,127.0.0.1,3923.9599871635437,43
0.963,0.86854,0.94814,0.81322,0.5938,0.4166,0.95996,44,1763394698,,False,44,35bf4_00009,2025-11-17_10-51-38,90.25974440574646,4014.21973156929,20324,LAPTOP-2DUVSE15,127.0.0.1,4014.21973156929,44
0.95791,0.88565,0.95054,0.81871,0.59875,0.4121,0.96127,45,1763394788,,False,45,35bf4_00009,2025-11-17_10-53-08,90.58251476287842,4104.802246332169,20324,LAPTOP-2DUVSE15,127.0.0.1,4104.802246332169,45
0.94067,0.88977,0.95022,0.81604,0.59961,0.40459,0.96431,46,1763394879,,False,46,35bf4_00009,2025-11-17_10-54-39,91.09799337387085,4195.900239706039,20324,LAPTOP-2DUVSE15,127.0.0.1,4195.900239706039,46
0.94008,0.899,0.95497,0.81689,0.59172,0.40421,0.9575,47,1763394970,,False,47,35bf4_00009,2025-11-17_10-56-10,90.54471802711487,4286.444957733154,20324,LAPTOP-2DUVSE15,127.0.0.1,4286.444957733154,47
0.93654,0.90402,0.95047,0.82075,0.58599,0.40268,0.95102,48,1763395061,,False,48,35bf4_00009,2025-11-17_10-57-41,91.03599953651428,4377.480957269669,20324,LAPTOP-2DUVSE15,127.0.0.1,4377.480957269669,48
0.94437,0.89525,0.95177,0.81366,0.59463,0.40106,0.95506,49,1763395150,,False,49,35bf4_00009,2025-11-17_10-59-10,89.34656739234924,4466.827524662018,20324,LAPTOP-2DUVSE15,127.0.0.1,4466.827524662018,49
0.94656,0.89576,0.95345,0.81912,0.59115,0.39916,0.95159,50,1763395241,,False,50,35bf4_00009,2025-11-17_11-00-41,90.68987917900085,4557.517403841019,20324,LAPTOP-2DUVSE15,127.0.0.1,4557.517403841019,50
0.93505,0.9028,0.95134,0.81851,0.58624,0.38626,0.95299,51,1763395331,,False,51,35bf4_00009,2025-11-17_11-02-11,90.61221480369568,4648.129618644714,20324,LAPTOP-2DUVSE15,127.0.0.1,4648.129618644714,51
0.93268,0.90415,0.95153,0.81621,0.59192,0.39856,0.95756,52,1763395422,,False,52,35bf4_00009,2025-11-17_11-03-42,90.54575419425964,4738.675372838974,20324,LAPTOP-2DUVSE15,127.0.0.1,4738.675372838974,52
