epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,2803.16,0.51236,0.49307,0.9518,0.96027,0.93203,0.96861,0.84155,0.55627,0.30666,0.95075,0.003565,0.003565,0.003565
132,2824.26,0.5116,0.49078,0.94906,0.96024,0.9306,0.96837,0.84169,0.55551,0.30223,0.94985,0.0035155,0.0035155,0.0035155
133,2845.48,0.50695,0.48933,0.9528,0.96118,0.93052,0.96813,0.8389,0.5565,0.30573,0.95187,0.003466,0.003466,0.003466
134,2866.48,0.50494,0.47401,0.94722,0.95414,0.93828,0.9704,0.83937,0.55742,0.30514,0.95352,0.0034165,0.0034165,0.0034165
135,2887.37,0.50783,0.4916,0.94552,0.96063,0.92925,0.97144,0.8424,0.55853,0.31122,0.95252,0.003367,0.003367,0.003367
136,2908.52,0.50202,0.47305,0.94826,0.9479,0.94676,0.96965,0.84052,0.55854,0.31327,0.95427,0.0033175,0.0033175,0.0033175
137,2929.68,0.50538,0.46995,0.94685,0.96193,0.93726,0.96829,0.83963,0.55725,0.31601,0.95175,0.003268,0.003268,0.003268
138,2951.04,0.49757,0.46681,0.94549,0.96302,0.93166,0.96981,0.84304,0.55516,0.30866,0.95095,0.0032185,0.0032185,0.0032185
139,2972.76,0.50952,0.48221,0.95252,0.96451,0.92713,0.96756,0.84215,0.55147,0.31055,0.94848,0.003169,0.003169,0.003169
140,2993.83,0.50063,0.47413,0.95011,0.96287,0.92638,0.96808,0.84261,0.55575,0.30729,0.94729,0.0031195,0.0031195,0.0031195
141,3014.83,0.49746,0.46582,0.94491,0.95464,0.93675,0.96783,0.84099,0.55405,0.30886,0.94429,0.00307,0.00307,0.00307
142,3035.78,0.49778,0.46252,0.94293,0.96068,0.93661,0.96867,0.84178,0.55572,0.30385,0.94521,0.0030205,0.0030205,0.0030205
143,3056.89,0.49101,0.46143,0.9412,0.96395,0.93593,0.971,0.84323,0.55529,0.29921,0.94501,0.002971,0.002971,0.002971
144,3077.81,0.49626,0.46657,0.94551,0.9619,0.92212,0.97084,0.8445,0.55554,0.30377,0.94493,0.0029215,0.0029215,0.0029215
145,3099.26,0.50488,0.45899,0.94297,0.96659,0.92599,0.97015,0.84407,0.55578,0.30509,0.94707,0.002872,0.002872,0.002872
146,3120.52,0.49457,0.45071,0.94432,0.95709,0.93962,0.96911,0.84288,0.55305,0.30268,0.94988,0.0028225,0.0028225,0.0028225
147,3141.66,0.49943,0.46395,0.94527,0.96618,0.92906,0.96946,0.84232,0.55263,0.30454,0.94848,0.002773,0.002773,0.002773
148,3162.75,0.4979,0.47422,0.94741,0.96502,0.93084,0.96945,0.84245,0.55187,0.30013,0.95165,0.0027235,0.0027235,0.0027235
149,3183.94,0.4891,0.45141,0.9406,0.96293,0.93585,0.96916,0.8445,0.55285,0.3013,0.94976,0.002674,0.002674,0.002674
150,3205.16,0.48866,0.44955,0.94009,0.95712,0.93461,0.9688,0.84195,0.55325,0.30146,0.94938,0.0026245,0.0026245,0.0026245
151,3226.47,0.4961,0.45458,0.94197,0.96097,0.93485,0.96918,0.84177,0.55424,0.29967,0.9489,0.002575,0.002575,0.002575
152,3247.5,0.49743,0.46257,0.94442,0.96157,0.93495,0.96995,0.84311,0.5566,0.29964,0.95045,0.0025255,0.0025255,0.0025255
153,3268.42,0.48767,0.4494,0.94282,0.95187,0.93201,0.96963,0.8421,0.55383,0.30325,0.94914,0.002476,0.002476,0.002476
154,3289.53,0.49043,0.44406,0.94216,0.94065,0.94991,0.96927,0.84251,0.55126,0.29826,0.94899,0.0024265,0.0024265,0.0024265
155,3310.53,0.48666,0.45407,0.9387,0.9519,0.93426,0.96978,0.84183,0.55231,0.30073,0.95066,0.002377,0.002377,0.002377
156,3331.65,0.48495,0.44777,0.94079,0.95403,0.93108,0.96951,0.84049,0.556,0.30286,0.94955,0.0023275,0.0023275,0.0023275
157,3352.84,0.48701,0.444,0.93926,0.9585,0.92995,0.9696,0.84145,0.55318,0.30052,0.94916,0.002278,0.002278,0.002278
158,3373.82,0.48824,0.44348,0.9423,0.96025,0.93025,0.97067,0.84462,0.55184,0.29902,0.94864,0.0022285,0.0022285,0.0022285
159,3394.71,0.48886,0.44574,0.93768,0.96297,0.92777,0.97032,0.84339,0.55267,0.30061,0.94975,0.002179,0.002179,0.002179
160,3415.66,0.47755,0.43157,0.93832,0.95989,0.93259,0.96956,0.84141,0.55341,0.30162,0.94963,0.0021295,0.0021295,0.0021295
161,3436.56,0.47786,0.43844,0.93433,0.95669,0.93424,0.96933,0.84404,0.55254,0.30497,0.95007,0.00208,0.00208,0.00208
162,3457.95,0.47595,0.42617,0.93596,0.96255,0.92439,0.9689,0.84358,0.55229,0.30676,0.94871,0.0020305,0.0020305,0.0020305
163,3479.15,0.47487,0.43534,0.93629,0.95833,0.92424,0.96644,0.84236,0.55423,0.3098,0.94921,0.001981,0.001981,0.001981
164,3500.3,0.4839,0.43378,0.93902,0.95718,0.92159,0.96563,0.84379,0.5531,0.30593,0.94854,0.0019315,0.0019315,0.0019315
165,3521.45,0.47827,0.43403,0.94113,0.96332,0.92318,0.96676,0.8441,0.55347,0.30341,0.94812,0.001882,0.001882,0.001882
166,3542.56,0.47993,0.43331,0.94013,0.96517,0.92364,0.9665,0.84276,0.55115,0.30202,0.94846,0.0018325,0.0018325,0.0018325
167,3563.39,0.46893,0.42097,0.93202,0.96402,0.92217,0.96593,0.84306,0.5508,0.3014,0.94899,0.001783,0.001783,0.001783
168,3584.58,0.47223,0.42303,0.93504,0.95932,0.92892,0.96655,0.84479,0.553,0.29714,0.95151,0.0017335,0.0017335,0.0017335
